Name,Short,Korean Name,Debut,Company,Members,Orig. Memb.,Fanclub Name,Active
Lusty,,러스티,6/26/19,babaplay,5,5,,Yes
Mamamoo,,마마무,6/18/14,RBW,4,4,Moomoo,Yes
Marmello,,마르멜로,5/24/17,Rolling,5,5,,No
Matilda,,마틸다,3/18/16,Box,4,4,,No
Melody Day,,멜로디데이,2/25/14,Cre.Ker,4,3,,No
Minx,,밍스,9/18/14,Happy Face,5,5,,No
miss A,,미쓰에이,1/10/07,JYP,3,4,Say A,No
Mixx,,믹스,2/16/05,Chiko,5,4,,No
Momoland,,모모랜드,9/16/11,Double Kick,6,7,,Yes
myB,,마이비,8/25/15,Maroo,6,6,,No
Nature,,네이처,3/18/08,n.CH,9,9,,Yes
O21,,오투원,6/21/16,Houxiu,3,6,,No
Oh My Girl,OHMG,오마이걸,4/21/15,WM,7,8,Miracle,Yes
OhBliss,,오블리스,10/17/16,JT Corea,5,5,,Yes
P.O.P,,피오피,7/26/17,DWM,6,6,,Yes
Pink Fantasy,,핑크판타지,10/28/18,My Doll,8,8,,Yes
Playback,,플레이백,6/25/15,Coridel,5,4,,Yes
Pristin,,프리스틴,3/21/17,Pledis,10,10,,No
Pungdeng-E,,풍뎅이,11/13/12,DOMA,3,3,,Yes
PURPLEBECK,,퍼플백,6/24/19,Majesty,5,5,Beckies,Yes
Rainbow,,레인보우,12/10/08,DSP,7,7,,No
Rania,,라니아,6/11/04,DR,5,8,,Yes
Red Velvet,RV,레드벨벳,1/14/08,SM,5,4,,Yes
Rockit Girl,,락킷걸,5/30/19,Rolling,2,2,,Yes
Rose Finger,,로즈핑거,3/18/10,YC:Bros,4,4,,Yes
Rubber Soul,,러버소울,10/15/02,Happy Tribe,2,3,,Yes
S.E.S,,에스.이.에스,11/1/97,SM,3,3,,No
S.I.S,,에스아이에스,8/25/17,Double X,6,6,,Yes
Saturday,,세러데이,7/18/18,SD,6,7,,Yes
SECRET,,시크릿,10/13/09,TS,3,4,Secret Time,No
