Name,Short,Korean Name,Debut,Company,Members,Orig. Memb.,Fanclub Name,Active
Spectrum,,스펙트럼,9/18/05,WYNN,6,7,,Yes
Speed,,스피드,1/15/13,MBK,7,7,,No
SS501,,더블에스오공일,06/08/05,"DSP, CI",5,5,Triple S,No
Stray Kids,SKZ,스트레이 키즈,3/26/18,JYP,9,9,,Yes
Super Junior,SJ,슈퍼주니어,11/06/05,SM,11,12,ELF,Yes
Supernova,,초신성,9/21/07,CJ E&M,5,6,,Yes
Target,,타겟,1/23/18,TNS,7,7,,Yes
Teen Top,,틴탑,07/09/10,TOP Media,5,6,Angel,Yes
The Boyz,,더보이즈,12/31/17,Cre.Ker,12,12,,Yes
The Eastlight,,더 이스트라이트,3/16/11,MediaLine,6,6,,No
The Legend,,전설,9/14/07,SS,5,5,,No
THE MAN BLK,,더 맨 블랙,11/15/18,Stardium,10,10,,Yes
ToppDogg,,탑독,10/22/13,"Stardom, Hunus",5,13,ToppKlass,No
TRAX,,트랙스,7/20/04,SM,2,4,,No
TRCNG,,티알씨엔지,10/17/10,TS,10,10,,Yes
TST,Top Secret,일급비밀,4/17/01,JSL,7,7,,Yes
Turbo,,터보,9/6/95,"MBK, Turbo Co.",3,2,,Hiatus
TVXQ!,TVXQ,동방신기,12/26/03,SM,2,5,Cassiopeia,Yes
TXT,,투모로우바이투게더,4/19/03,Big Hit,5,5,,Yes
U-KISS,,유키스,8/28/08,NH Media,6,6,Kissme,Yes
UNB,,유앤비,7/18/04,Unit Culture,9,9,,No
UNIQ,,유니크,10/20/14,Yuehua,5,5,Unicorn,Yes
UP10TION,,업텐션,11/15/09,TOP Media,10,10,HONEY10,Yes
Varsity,,바시티,5/17/01,GKC,12,12,,Yes
VAV,,브이에이브이,10/31/15,A team,7,6,,Yes
Verivery,VRVR,베리베리,1/19/09,Jellyfish,7,7,,Yes
VERMUDA,,버뮤다,7/13/17,JJJ,5,5,,Yes
VICTON,,빅톤,9/16/11,Plan A,7,7,Alice,Yes
VIXX,,빅스,5/24/12,Jellyfish,6,6,Starlight,Yes
VOISPER,,보이스퍼,2/23/16,Evermore,4,4,,Yes
VROMANCE,,브로맨스,12/16/06,RBW,4,4,,Yes
Wanna One,,워너원,7/17/08,YMC,11,11,Wannable,No
We In The Zone,,위인더존,5/27/19,Choon,5,5,,Yes
WINNER,,위너,12/14/08,YG,4,5,Ace,Yes
ZE:A,,제국의 아이들,01/07/10,Star Empire,9,9,ZE:A Style,Hiatus
